Empresas com Registro no SND (*)- Gerado em 20/10/2019 01:42:46

Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
ABC22     	PARTICIPACOES ABC S/A	 011	 001	 -	Excluído	BRPTABDBS0B6	SEP/GER/DEB - 95/056	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC23     	PARTICIPACOES ABC S/A	 020	 001	 -	Excluído	BRPTABDBS0K7	SEP/GER/DEB - 95/065	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC31     	PARTICIPACOES ABC S/A	 003	 001	 -	Excluído	BRPTABDBS037	SEP/GER/DEB - 95/048	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC32     	PARTICIPACOES ABC S/A	 012	 001	 -	Excluído	BRPTABDBS0C4	SEP/GER/DEB - 95/057	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC33     	PARTICIPACOES ABC S/A	 021	 001	 -	Excluído	BRPTABDBS0L5	SEP/GER/DEB - 95/066	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC41     	PARTICIPACOES ABC S/A	 004	 001	 -	Excluído	BRPTABDBS045	SEP/GER/DEB - 95/049	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC42     	PARTICIPACOES ABC S/A	 013	 001	 -	Excluído	BRPTABDBS0D2	SEP/GER/DEB - 95/058	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC43     	PARTICIPACOES ABC S/A	 022	 001	 -	Excluído	BRPTABDBS0M3	SEP/GER/DEB - 95/067	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC51     	PARTICIPACOES ABC S/A	 005	 001	 -	Excluído	BRPTABDBS052	SEP/GER/DEB - 95/050	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC52     	PARTICIPACOES ABC S/A	 014	 001	 -	Excluído	BRPTABDBS0E0	SEP/GER/DEB - 95/059	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC61     	PARTICIPACOES ABC S/A	 006	 001	 -	Excluído	BRPTABDBS060	SEP/GER/DEB - 95/051	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC62     	PARTICIPACOES ABC S/A	 015	 001	 -	Excluído	BRPTABDBS0F7	SEP/GER/DEB - 95/060	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC71     	PARTICIPACOES ABC S/A	 007	 001	 -	Excluído	BRPTABDBS078	SEP/GER/DEB - 95/052	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC72     	PARTICIPACOES ABC S/A	 016	 001	 -	Excluído	BRPTABDBS0G5	SEP/GER/DEB - 95/061	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC81     	PARTICIPACOES ABC S/A	 008	 001	 -	Excluído	BRPTABDBS086	SEP/GER/DEB - 95/053	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC82     	PARTICIPACOES ABC S/A	 017	 001	 -	Excluído	BRPTABDBS0H3	SEP/GER/DEB - 95/062	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC91     	PARTICIPACOES ABC S/A	 009	 001	 -	Excluído	BRPTABDBS094	SEP/GER/DEB - 95/054	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC92     	PARTICIPACOES ABC S/A	 018	 001	 -	Excluído	BRPTABDBS0I1	SEP/GER/DEB - 95/063	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABEN11    	ABENGOA CONCESSOES BRASIL HOLDING S/A	 UNI	 001	 -	Excluído	BRABNGDBS005	DISPENSA ICVM 476/09	16/05/2013			17/05/2013	17/05/2018	13/10/2014 - RESGATE TOTAL ANTECIPADO	17/05/2018	17/05/2013	17/05/2013	 -	AGE	08/04/2013			Escritural	Quirografária	Simples	7500			000000000000	000000000000	000000007500			000000000000		000000000000	R$	10000	R$	10000	10/10/2014	DI	Integrante de Juros	Padrão - SND		-		100	0	 - 	 -		20	0006	MES	17/05/2016	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	3	252	0006	MES	17/11/2013	Útil	Exponencial						 - 	 -	0		 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU CV S/A	BB BCO DE INVESTIMENTO S/A	07872408000100	N	n	S
ABEN12    	ABENGOA CONCESSOES BRASIL HOLDING S/A	 UNI	 002	 -	Excluído	BRABNGDBS013	DISPENSA ICVM 476/09	03/12/2013			02/12/2013	02/12/2016	09/10/2014 - RESGATE TOTAL ANTECIPADO	02/12/2016	02/12/2013	04/12/2013	 -	AGE	18/11/2013			Escritural	Quirografária	Simples	7500			000000000000	000000000000	000000007500			000000000000		000000000000	R$	10000	R$	10000	08/10/2014	DI		Padrão - SND		-		100	0	 - 	 -		 - 	0006	MES	02/06/2015	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	4,2	252	0006	MES	02/06/2014	Útil	Exponencial						 - 	 -	0		 -									BANCO CITIBANK S/A	OLIVEIRA TRUST DTVM SA	BANCO CITIBANK S/A	HAITONG BCO DE INVESTIMENTO DO BRASIL SA	07872408000100	N	n	S
ABEV11    	AMBEV S.A	 UNI	 001	 -	Registrado	BRABEVDBS003	DISPENSA ICVM 476/09	30/10/2015			30/10/2015	30/10/2021		30/10/2021	03/11/2015	30/10/2015	 -	RCA	28/08/2015	RCA	14/10/2015	Escritural	Quirografária	Simples	1000			000000001000	000000000000	000000000000			000000000000		000000000000	R$	1000000	R$	1000000	18/10/2019	PRÉ		Padrão - SND		-		 -	0	 - 	 -		 - 	 - 		 - 	 -	 - 	14,476	252	0012	MES	30/10/2016	Útil	Exponencial		-				 - 	 -	0		 -									ITAU UNIBANCO S.A.	SIMPLIFIC PAVARINI DTVM LTDA	ITAU CV S/A	BANCO ITAU-BBA S/A	07526557000100	S	n	N
ABMX11    	ABIMEX IMPORTACAO E EXPORTACAO S/A	 UNI	 001	 -	Excluído	BRABMXDBS002	DISPENSA ICVM 476/09	11/04/2012			10/04/2012	10/04/2018	11/04/2018 - VENCIMENTO	10/04/2018	12/04/2012		 -	AGE	16/03/2012			Escritural	Quirografária	Simples	60			000000000000	000000000000	000000000060			000000000000		000000000000	R$	1000000	R$	50000	10/04/2018	DI	Integrante de Juros	Padrão - SND		-		100	0	 - 	 -		5	0003	MES	10/07/2013	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	1,3	252	0001	MES	10/05/2012	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	07121351000108	N	n	S
